AbandonmentTime,Played,Spending,Enjoyment,GameTime
2.76,0,0,0,0
1.93,1,0,8,7.68
3.57,0,0,0,0
5.04,0,0,0,0
4.07,0,0,0,0
3.6,1,0,10,5.28
7.13,0,0,0,0
0.86,1,4.28,10,8.13
0.11,1,0,7,9.28
1.3,1,0,6,7.55
6.69,0,0,0,0
2.66,1,3.97,5,8.58
6.21,1,3.39,6,8.91
3.72,0,0,0,0
1.22,0,0,0,0
2.42,0,0,0,0
4.75,1,0,10,6.99
0.33,0,0,0,0
5.49,0,0,0,0
1.05,1,0,3,6.98
5.74,0,0,0,0
0.54,1,3.76,7,2.54
1.08,1,1.49,7,3.98
4.99,1,0,6,3.21
7.01,1,4.06,7,8.19
6.23,1,0,3,8.35
9.1,1,0,4,2.92
2.79,1,2.68,6,6.77
9.24,0,0,0,0
6.41,1,3.3,8,9.02
0.04,1,3.06,6,8.55
1.21,1,3.68,8,9.36
10.94,1,4.12,7,7.83
9.69,1,0,6,8.27
14.99,1,0,9,3.96
1.2,0,0,0,0
1.94,1,0,4,9.5
1.3,0,0,0,0
3.91,0,0,0,0
8.68,1,4.45,8,5.61
5.86,1,0,5,8.54
5.41,1,0,10,9.2
7.97,0,0,0,0
3.88,0,0,0,0
1.62,1,0,5,7.3
5.26,1,0,6,8.39
1.86,1,0,5,8.66
8.48,1,0,10,7.26
3.4,0,0,0,0
2.99,1,2.15,4,8.14
0.81,1,0,5,6.97
10.48,0,0,0,0
8.48,1,3.23,5,5.26
4.92,1,0,6,6.64
1.78,0,0,0,0
0.83,1,0,8,7.14
2.26,1,3.28,3,6.06
2.74,0,0,0,0
7.35,1,4.54,6,7.99
8.67,1,0,8,6.7
13.68,0,0,0,0
6.6,1,0,6,8.1
3.27,0,0,0,0
2.58,0,0,0,0
8.42,1,0,7,7.4
9.17,0,0,0,0
9.29,1,0,9,9.12
2.47,1,4.61,10,7.04
9.03,1,2.03,8,7.5
2.01,1,4.16,7,8.59
7.55,1,0,5,4.22
13.03,0,0,0,0
5.68,1,0,8,8.59
0.69,0,0,0,0
12.51,1,3.19,6,8.69
14.29,0,0,0,0
15.03,1,3.89,5,7.5
10.15,0,0,0,0
2.33,0,0,0,0
8.4,1,2.78,8,6.77
3.36,0,0,0,0
3.52,0,0,0,0
2.62,1,1.93,7,7.98
3.91,1,0,7,7.46
3.8,1,0,7,8.71
6.74,1,4.39,7,7.03
4.01,0,0,0,0
8.52,0,0,0,0
12.19,1,4.22,9,8.13
5.31,1,0,1,8.63
8.97,0,0,0,0
0.74,1,0,5,8.55
4.54,1,4.77,7,7.3
2.88,1,3.21,4,7.04
3.59,1,4.29,7,8.34
6.23,1,0,5,9.37
6.37,1,4.84,7,8.31
3.39,1,3.77,7,7.83
6.66,0,0,0,0
5.13,1,4.89,10,3.56
5.64,1,3.45,7,9.36
5.47,1,0,7,8.96
7.24,1,1.45,4,5.95
8.77,1,3.94,5,6.75
1.07,1,0,6,9.32
0.36,1,4,5,8.32
2.91,1,3.62,5,9.74
5.96,0,0,0,0
4.93,1,1.7,9,3.59
7.07,0,0,0,0
2.46,1,2.89,3,9.39
7.6,0,0,0,0
6.78,1,0,8,2.84
12.13,1,0,7,8.75
14.48,1,2.25,7,8.11
19.35,1,3.98,7,5.51
3.07,1,0,7,4.99
1.66,1,2.71,5,8.2
7.35,0,0,0,0
7.37,1,4.44,6,8.57
0.46,1,2.32,3,8.87
1.89,1,2.08,6,7.93
3.6,1,4.84,9,4.6
3.25,1,0,9,4.08
4.95,1,3.3,8,8.91
2.59,1,2.75,7,9.48
6.56,0,0,0,0
7.83,1,3.1,9,6.45
6.56,1,2.72,7,8.64
8.75,1,0,7,4.78
4.72,0,0,0,0
1.47,1,0,6,4.9
6.19,0,0,0,0
1.91,1,0,8,5.41
0.62,0,0,0,0
8.85,0,0,0,0
3.26,1,0,4,7.22
3.67,0,0,0,0
9.74,1,0,6,6.29
4.69,1,0,6,9.59
2.98,1,3,3,4.96
3.71,1,0,8,7.86
6.95,1,0,9,7.65
8.37,1,0,6,6.73
10.65,1,3.21,9,6.11
11.34,0,0,0,0
6.44,1,0,6,4.16
10.36,1,0,7,3.58
2.96,1,4.17,7,6.8
4.21,1,0,8,6.37
9.33,1,3.5,4,3.81
7.8,0,0,0,0
13.23,1,0,8,8.95
6.48,0,0,0,0
2,1,0,6,7.86
1.03,1,4.31,7,7.14
2.87,1,0,6,6.9
9.93,1,2.15,9,8.42
12.74,1,0,10,6.1
0.55,1,0,7,6.27
3.06,1,0,8,9.23
10.88,0,0,0,0
8.57,0,0,0,0
3.15,1,0,7,8.92
14.85,1,3.85,7,9.07
9.02,1,2.61,6,8.07
13.46,1,0,4,8.5
3.57,0,0,0,0
14.61,0,0,0,0
17.18,1,0,3,6.89
12,1,4.39,7,8.26
5.93,1,0,9,5.45
7.17,1,3.8,1,9
0.89,1,2.33,6,7.35
6.12,1,0,7,6.3
2.32,1,0,6,9.67
10.87,1,0,10,4.45
3.03,1,4.25,4,6.48
0.79,1,0,7,6.8
8.08,1,1.99,5,5.32
0.24,0,0,0,0
2.4,1,3.12,6,7.48
7.31,0,0,0,0
0.98,0,0,0,0
3.06,1,4.67,4,8.02
2.18,1,0,3,7.61
6.53,0,0,0,0
5.03,1,0,1,6.67
0.53,0,0,0,0
1.87,0,0,0,0
2.91,1,4.7,8,4.9
1.83,1,4.12,6,4.05
